model = bulk_NN()
predictions = predict(model,x_tst)
testAccuracy(predictions,y_tst)
%prun testAccuracy(predictions,y_tst)

         55024 function calls (53041 primitive calls) in 0.111 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_DeleteBuffer}
       13    0.000    0.000    0.000    0.000 dataset_ops.py:2927(merge)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       11    0.000    0.000    0.000    0.000 encoder.py:446(EncodePackedField)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       58    0.000    0.000    0.000    0.000 ops.py:3071(_c_graph)
        4    0.000    0.000    0.000    0.000 func_graph.py:82(encode_arg)
       34    0.000    0.000    0.000    0.000 python_message.py:727(setter)
       16    0.000    0.000    0.000    0.000 tensor_shape.py:1198(<listcomp>)
       24    0.000    0.000    0.000    0.000 ops.py:5153(_mutation_lock)
       64    0.000    0.000    0.000    0.000 ops.py:3354(building_function)
       57    0.000    0.000    0.000    0.000 config_lib.py:33(matches)
       88    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.111    0.111 {built-in method builtins.exec}
       24    0.000    0.000    0.000    0.000 errors_impl.py:264(__init__)
       48    0.000    0.000    0.000    0.000 auto_control_deps.py:125(op_is_stateful)
       32    0.000    0.000    0.000    0.000 tape.py:220(could_possibly_record)
       11    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphGetTensorShapeHelper}
        1    0.000    0.000    0.033    0.033 data_adapter.py:254(__init__)
       55    0.000    0.000    0.000    0.000 options.py:33(__init__)
       16    0.000    0.000    0.000    0.000 ops.py:6385(name_scope)
       24    0.000    0.000    0.000    0.000 tpu.py:223(tpu_replicated_input_resolver)
       24    0.000    0.000    0.000    0.000 ops.py:1995(_control_flow_post_processing)
       14    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
       32    0.000    0.000    0.000    0.000 six.py:588(iteritems)
       24    0.000    0.000    0.000    0.000 ops.py:5059(_snapshot_colocation_stack_metadata)
       14    0.000    0.000    0.000    0.000 ops.py:6458(__enter__)
       19    0.000    0.000    0.000    0.000 tensor_shape.py:866(__getitem__)
       15    0.000    0.000    0.000    0.000 op_def_library.py:38(_Attr)
       32    0.000    0.000    0.000    0.000 nest.py:1234(<listcomp>)
        9    0.000    0.000    0.000    0.000 tensor_util.py:339(_is_array_like)
      5/1    0.000    0.000    0.000    0.000 base_layer.py:2756(__setattr__)
       92    0.000    0.000    0.006    0.000 {built-in method builtins.iter}
      129    0.000    0.000    0.000    0.000 encoder.py:96(_SignedVarintSize)
      141    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 context.py:773(_mode)
       36    0.000    0.000    0.000    0.000 ops.py:1924(<genexpr>)
       16    0.000    0.000    0.000    0.000 nest.py:157(pack_sequence_as)
        1    0.000    0.000    0.033    0.033 data_adapter.py:1073(__init__)
       63    0.000    0.000    0.000    0.000 ops.py:4079(_name_stack)
        4    0.000    0.000    0.000    0.000 ops.py:616(set_shape)
       28    0.000    0.000    0.000    0.000 ops.py:5387(get_controller)
       72    0.000    0.000    0.000    0.000 object_identity.py:196(<listcomp>)
        3    0.000    0.000    0.000    0.000 inspect.py:1102(getfullargspec)
       24    0.000    0.000    0.000    0.000 errors_impl.py:64(__init__)
       11    0.000    0.000    0.000    0.000 containers.py:271(extend)
        3    0.000    0.000    0.000    0.000 api.py:244(decorator)
       30    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
       18    0.000    0.000    0.007    0.000 constant_op.py:166(constant)
       24    0.000    0.000    0.000    0.000 ops.py:386(_create_with_tf_output)
       54    0.000    0.000    0.000    0.000 config_lib.py:50(get_action)
        1    0.000    0.000    0.008    0.008 dataset_ops.py:4031(__init__)
       51    0.000    0.000    0.000    0.000 context.py:514(ensure_initialized)
       24    0.000    0.000    0.000    0.000 dataset_ops.py:4572(_resource_resolver)
       46    0.000    0.000    0.000    0.000 nest.py:198(_yield_value)
        1    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringGetCellBoolGauge1}
        1    0.000    0.000    0.016    0.016 dataset_ops.py:4119(__init__)
       15    0.000    0.000    0.000    0.000 context.py:219(push)
       31    0.000    0.000    0.000    0.000 structure.py:269(<lambda>)
       72    0.000    0.000    0.000    0.000 lock_util.py:110(_validate_group_id)
       11    0.000    0.000    0.000    0.000 decoder.py:216(DecodePackedField)
       14    0.000    0.000    0.000    0.000 dataset_ops.py:3795(__init__)
        1    0.000    0.000    0.007    0.007 dataset_ops.py:4069(__init__)
       32    0.000    0.000    0.000    0.000 function.py:265(__init__)
        3    0.000    0.000    0.000    0.000 inspect.py:2489(__init__)
       35    0.000    0.000    0.000    0.000 <string>:1(__new__)
       36    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequenceForData}
       24    0.000    0.000    0.000    0.000 threading.py:364(notify_all)
       48    0.000    0.000    0.000    0.000 ops.py:5044(_colocation_stack)
       14    0.000    0.000    0.000    0.000 tf_contextlib.py:25(contextmanager)
       32    0.000    0.000    0.000    0.000 nest.py:1137(<lambda>)
        8    0.000    0.000    0.000    0.000 tensor_util.py:186(GetFromNumpyDTypeDict)
       24    0.000    0.000    0.000    0.000 auto_control_deps_utils.py:112(<genexpr>)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        3    0.000    0.000    0.015    0.005 dataset_ops.py:3292(_wrapper_helper)
        4    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.SetAttr}
       21    0.000    0.000    0.000    0.000 control_flow_util.py:266(CheckInputFromValidContext)
        6    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.AssertSameStructure}
        6    0.000    0.000    0.000    0.000 func_graph.py:69(convert_structure_to_signature)
       30    0.000    0.000    0.000    0.000 ops.py:216(uid)
