%prun bulk_NN()

         105169 function calls (101140 primitive calls) in 0.083 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       95    0.000    0.000    0.000    0.000 tensor_shape.py:746(__init__)
      174    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
      301    0.000    0.000    0.000    0.000 python_message.py:757(getter)
       59    0.000    0.000    0.000    0.000 tf_decorator.py:236(__init__)
      111    0.000    0.000    0.000    0.000 encoder.py:393(EncodeSignedVarint)
    94/47    0.000    0.000    0.030    0.001 dispatch.py:198(wrapper)
       64    0.000    0.000    0.000    0.000 threading.py:341(notify)
       42    0.000    0.000    0.000    0.000 ops.py:6601(__enter__)
       46    0.000    0.000    0.000    0.000 op_def_library.py:173(_MakeType)
       63    0.000    0.000    0.001    0.000 ops.py:6458(__enter__)
       57    0.000    0.000    0.001    0.000 contextlib.py:211(contextmanager)
       20    0.000    0.000    0.017    0.001 variable_scope.py:2557(default_variable_creator)
       11    0.000    0.000    0.001    0.000 array_ops.py:2754(zeros)
      111    0.000    0.000    0.000    0.000 traceable_stack.py:119(peek_objs)
      137    0.000    0.000    0.000    0.000 object_identity.py:134(__setitem__)
       43    0.000    0.000    0.001    0.000 tensor_shape.py:1193(as_proto)
      200    0.000    0.000    0.000    0.000 ops.py:5075(_control_dependencies_stack)
      161    0.000    0.000    0.000    0.000 ops.py:1033(dtype)
      729    0.000    0.000    0.000    0.000 python_message.py:834(<lambda>)
    37/19    0.000    0.000    0.001    0.000 encoder.py:759(EncodeRepeatedField)
      289    0.000    0.000    0.000    0.000 ops.py:4079(_name_stack)
        9    0.000    0.000    0.069    0.008 sequential.py:156(add)
    48/24    0.000    0.000    0.019    0.001 variables.py:258(__call__)
       18    0.000    0.000    0.012    0.001 func_graph.py:1123(_create_substitute_placeholder)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       64    0.000    0.000    0.000    0.000 ops.py:1995(_control_flow_post_processing)
       18    0.000    0.000    0.021    0.001 gen_resource_variable_ops.py:451(read_variable_op)
       48    0.000    0.000    0.000    0.000 variables.py:151(validate_synchronization_aggregation_trainable)
      522    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
       79    0.000    0.000    0.000    0.000 context.py:219(push)
       18    0.000    0.000    0.000    0.000 input_spec.py:132(assert_input_compatibility)
      136    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       57    0.000    0.000    0.001    0.000 tf_contextlib.py:25(contextmanager)
      558    0.000    0.000    0.000    0.000 object_identity.py:35(__init__)
      497    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      135    0.000    0.000    0.000    0.000 python_message.py:1380(_Clear)
       81    0.000    0.000    0.000    0.000 python_message.py:1541(Modified)
      105    0.000    0.000    0.000    0.000 tf_decorator.py:200(unwrap)
      114    0.000    0.000    0.000    0.000 ops.py:5387(get_controller)
