model = bulk_NN()
%prun predict(model,x_tst)

         147915 function calls (143274 primitive calls) in 0.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.000    0.000    0.000    0.000 op_def_library.py:737(<listcomp>)
       95    0.000    0.000    0.000    0.000 dataset_ops.py:4572(_resource_resolver)
       73    0.000    0.000    0.000    0.000 tensor_shape.py:746(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewGraph}
       10    0.000    0.000    0.000    0.000 input_spec.py:132(assert_input_compatibility)
      123    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequenceOrComposite}
        5    0.000    0.000    0.001    0.000 func_graph.py:165(__init__)
       19    0.000    0.000    0.011    0.001 func_graph.py:644(_capture_helper)
       31    0.000    0.000    0.062    0.002 function.py:2825(__call__)
       88    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationName}
      184    0.000    0.000    0.000    0.000 containers.py:559(__init__)
      285    0.000    0.000    0.000    0.000 lock_util.py:110(_validate_group_id)
       31    0.000    0.000    0.000    0.000 def_function.py:97(called_without_tracing)
       23    0.000    0.000    0.000    0.000 ops.py:444(_c_api_shape)
        1    0.000    0.000    0.039    0.039 functional.py:464(_run_internal_graph)
       95    0.000    0.000    0.000    0.000 threading.py:364(notify_all)
       78    0.000    0.000    0.000    0.000 iterator_ops.py:766(_type_spec)
  168/150    0.000    0.000    0.001    0.000 containers.py:420(MergeFrom)
       94    0.000    0.000    0.001    0.000 ops.py:386(_create_with_tf_output)
       88    0.000    0.000    0.000    0.000 control_flow_util.py:266(CheckInputFromValidContext)
      311    0.000    0.000    0.007    0.000 {built-in method builtins.iter}
        3    0.000    0.000    0.031    0.010 dataset_ops.py:3186(__init__)
       95    0.000    0.000    0.000    0.000 ops.py:4637(_record_op_seen_by_control_dependencies)
      406    0.000    0.000    0.000    0.000 {method 'pack' of 'Struct' objects}
       36    0.000    0.000    0.001    0.000 ops.py:3868(_get_op_def)
      386    0.000    0.000    0.000    0.000 ops.py:397(dtype)
      105    0.000    0.000    0.000    0.000 six.py:588(iteritems)
       32    0.000    0.000    0.000    0.000 weakref.py:422(__contains__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       79    0.000    0.000    0.000    0.000 auto_control_deps_utils.py:112(<genexpr>)
      208    0.000    0.000    0.000    0.000 ops.py:5044(_colocation_stack)
       27    0.000    0.000    0.000    0.000 tensor_spec.py:39(__init__)
      229    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      190    0.000    0.000    0.000    0.000 containers.py:628(__iter__)
       95    0.000    0.000    0.000    0.000 ops.py:5153(_mutation_lock)
      103    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_UID}
       22    0.000    0.000    0.000    0.000 tape.py:104(variable_accessed)
